title,published,views,likes,comments,video_id,duration,url,days_since_start,final_cluster,series_name
Africa: Zulu Empire - Shaka Zulu Becomes King - Extra History - Part 1,2015-05-16,3192439,49285.0,3145.0,BZLGKFWlRzY,452.0,https://www.youtube.com/watch?v=BZLGKFWlRzY,617,86,Africa: Zulu Empire
Africa: Zulu Empire - The Wrath of Shaka Zulu - Extra History - Part 2,2015-05-23,2167926,29993.0,1775.0,GUpaZ0hMso4,517.0,https://www.youtube.com/watch?v=GUpaZ0hMso4,624,86,Africa: Zulu Empire
Africa: Zulu Empire - Diamonds in South Africa - Extra History - Part 3,2015-05-30,1753374,25119.0,1169.0,-JG-5otw0O8,544.0,https://www.youtube.com/watch?v=-JG-5otw0O8,631,86,Africa: Zulu Empire
Africa: Zulu Empire - Last Stands and Changing Fortunes - Extra History - Part 4,2015-06-06,1655765,27725.0,2314.0,KG_mbCgp_zU,558.0,https://www.youtube.com/watch?v=KG_mbCgp_zU,638,86,Africa: Zulu Empire
Zulu Empire - Lies - Extra History,2015-06-13,480241,7212.0,398.0,0C6pjINyK5Y,723.0,https://www.youtube.com/watch?v=0C6pjINyK5Y,645,86,Africa: Zulu Empire
"""Union Busting"" - Battle of Blair Mountain - US History - Part 1 - Extra History",2022-09-17,697126,26698.0,1059.0,vg9xywAxb10,673.0,https://www.youtube.com/watch?v=vg9xywAxb10,3298,26,Battle of Blair Mountain - US History
Get Your Rifles - Battle of Blair Mountain - US History - Part 2 - Extra History,2022-09-24,485933,20628.0,949.0,jklZYrkEtEs,716.0,https://www.youtube.com/watch?v=jklZYrkEtEs,3305,26,Battle of Blair Mountain - US History
Building Angkor - Monsoon Metropolis - Extra History - Part 1,2019-10-12,802540,21137.0,1279.0,oumxCLy_N9k,631.0,https://www.youtube.com/watch?v=oumxCLy_N9k,2227,55,Building Angkor
Building Angkor - Temple City - Extra History - Part 2,2019-10-19,513799,14078.0,513.0,pxbW_L9O7Rg,586.0,https://www.youtube.com/watch?v=pxbW_L9O7Rg,2234,55,Building Angkor
Building Angkor - A Clash of Gods - Extra History - #3,2019-10-26,425955,12499.0,466.0,BQeuakxNg94,560.0,https://www.youtube.com/watch?v=BQeuakxNg94,2241,55,Building Angkor
Building Angkor - A Drowning City - Extra History - Part 4,2019-11-02,424856,12135.0,347.0,JL1yTXZyPd8,610.0,https://www.youtube.com/watch?v=JL1yTXZyPd8,2248,55,Building Angkor
"Building Angkor - The ""Lost"" City - Extra History - Part 5",2019-11-08,346375,12135.0,479.0,xHmHW7lL1iM,585.0,https://www.youtube.com/watch?v=xHmHW7lL1iM,2254,55,Building Angkor
Angkor Wat - Lies - Extra History,2019-11-23,85939,2167.0,158.0,dDH3TN5xdyY,1391.0,https://www.youtube.com/watch?v=dDH3TN5xdyY,2269,55,Building Angkor
Byzantine Empire: Justinian and Theodora - From Swineherd to Emperor - Extra History - Part 1,2015-06-20,3212535,41532.0,1739.0,H_2E0RxVHH4,489.0,https://www.youtube.com/watch?v=H_2E0RxVHH4,652,82,Byzantine Empire: Justinian and Theodora
Byzantine Empire: Justinian and Theodora - The Reforms of Justinian - Extra History - Part 2,2015-06-27,2306470,31035.0,1004.0,klq84Z9O4GU,581.0,https://www.youtube.com/watch?v=klq84Z9O4GU,659,82,Byzantine Empire: Justinian and Theodora
Byzantine Empire: Justinian and Theodora - Purple is the Noblest Shroud - Extra History - Part 3,2015-07-04,2054082,27995.0,1222.0,eGL_M1SQV5E,543.0,https://www.youtube.com/watch?v=eGL_M1SQV5E,666,82,Byzantine Empire: Justinian and Theodora
Byzantine Empire: Justinian and Theodora - Vanquishing the Vandals - Extra History - Part 4,2015-07-11,1867479,25351.0,833.0,_NpDvBX2XEI,522.0,https://www.youtube.com/watch?v=_NpDvBX2XEI,673,82,Byzantine Empire: Justinian and Theodora
Byzantine Empire: Justinian and Theodora - Impossible Burden of Fate - Extra History - Part 5,2015-07-18,1723273,24042.0,709.0,oakBpmsJJ9Q,493.0,https://www.youtube.com/watch?v=oakBpmsJJ9Q,680,82,Byzantine Empire: Justinian and Theodora
Byzantine Empire: Justinian and Theodora - Fighting for Rome - Extra History - Part 6,2015-07-25,1648591,28225.0,868.0,0W8wIAV1Pu4,647.0,https://www.youtube.com/watch?v=0W8wIAV1Pu4,687,82,Byzantine Empire: Justinian and Theodora
