Episode,Published,Views,Likes,Comments,ID,Time (sec),URL
Imperial President: William McKinley 2 | US History | Extra History,2025-07-26,181139,9354,519,YtOVaF1qxS0,1074.0,https://www.youtube.com/watch?v=YtOVaF1qxS0
2026 “History Happens Every Day” Kickstarter Launch Stream!,2025-07-22,14862,440,11,fPjEW8alNCg,10760.0,https://www.youtube.com/watch?v=fPjEW8alNCg
Pearl Harbor's SECRET WW2 Catastrophe | The West Loch Disaster | Extra History,2025-07-22,131761,7716,234,hIo9BZGN4AQ,831.0,https://www.youtube.com/watch?v=hIo9BZGN4AQ
Smallpox's Apocalypse | Best Days in History #shorts,2025-07-22,583619,56742,565,upXbuTx8asE,76.0,https://www.youtube.com/watch?v=upXbuTx8asE
Rollercoasters Wrecked People! | Historical Victorian Horrors #shorts,2025-07-17,1933907,142812,379,pfZERIpuVvU,69.0,https://www.youtube.com/watch?v=pfZERIpuVvU
The Tariff King: President William McKinley 1 | US History | Extra History,2025-07-12,314260,15450,893,_lWCFazfhL0,1103.0,https://www.youtube.com/watch?v=_lWCFazfhL0
Battle for Birth Control | US History #shorts,2025-07-10,1347774,111708,1123,cRPw_fBnekw,68.0,https://www.youtube.com/watch?v=cRPw_fBnekw
Policing London | British History | Extra History Complete,2025-07-05,261636,8452,223,H9BYIz0iiV0,2995.0,https://www.youtube.com/watch?v=H9BYIz0iiV0
Was Sandman Stolen? | So You Haven't Read #shorts,2025-07-03,366148,25917,363,KYUfASfJ2ts,67.0,https://www.youtube.com/watch?v=KYUfASfJ2ts
Mutiny on the Bounty | Lies | Extra History,2025-07-02,28262,1272,77,mrhganQPwv8,1746.0,https://www.youtube.com/watch?v=mrhganQPwv8
The Tuskegee Airmen | US History | WW2,2025-06-28,203032,13459,597,p402cuRIy8Q,1024.0,https://www.youtube.com/watch?v=p402cuRIy8Q
"Al Capone's ""Family"" Problems | Worst Dad's in History #shorts",2025-06-26,3659241,279790,620,SEzfUiEgUks,67.0,https://www.youtube.com/watch?v=SEzfUiEgUks
President Almost Overthrown! -The Business Plot | Worst Coups in History #shorts,2025-06-19,1738108,126508,1004,DdyVGSbRavU,77.0,https://www.youtube.com/watch?v=DdyVGSbRavU
Mutiny on the Bounty 3: Global Manhunt | Naval History | Extra History,2025-06-14,227719,10809,371,-JJuH5F5dmo,1046.0,https://www.youtube.com/watch?v=-JJuH5F5dmo
Censoring Arlington Cemetery | Recently Deleted History #shorts,2025-06-12,5129675,373464,2534,12YMenGYQMs,73.0,https://www.youtube.com/watch?v=12YMenGYQMs
Ibn Battuta | History's Greatest Traveler | Extra History Complete,2025-06-07,298548,9413,485,HdlxlYjyf0w,2775.0,https://www.youtube.com/watch?v=HdlxlYjyf0w
Reagan Created Cyberpunk?! | US History #shorts,2025-06-06,2269461,189798,1844,Ep4xO5kyRYo,80.0,https://www.youtube.com/watch?v=Ep4xO5kyRYo
Mutiny on the Bounty 2: Cast Adrift | Naval History | Extra History,2025-05-31,228596,10497,328,p0eOXXKMLCA,1030.0,https://www.youtube.com/watch?v=p0eOXXKMLCA
Pearl Harbor Hero Delisted | Recently Deleted History #shorts,2025-05-29,6236403,476134,5486,k1115talIMU,61.0,https://www.youtube.com/watch?v=k1115talIMU
Panama Canal Death Toll | Extra History #shorts,2025-05-22,1165972,80102,433,7KPPUGt6tN0,68.0,https://www.youtube.com/watch?v=7KPPUGt6tN0
Mutiny on the Bounty 1: Disaster in the Making | Naval History | Extra History,2025-05-17,372525,13927,505,i8p4Uv6Hpjs,1047.0,https://www.youtube.com/watch?v=i8p4Uv6Hpjs
First Cat in Space! | Coolest Cats in History #shorts,2025-05-15,453950,43353,379,w_O5eP8ZVmU,86.0,https://www.youtube.com/watch?v=w_O5eP8ZVmU
Theodore Roosevelt: Trustbuster | US History | Extra History Complete,2025-05-10,441456,13806,526,qhweYlMlk3s,2962.0,https://www.youtube.com/watch?v=qhweYlMlk3s
U.S. Government vs Birth Control | US History | Extra History #shorts,2025-05-08,1594739,110493,830,iK2NVY-kJXM,74.0,https://www.youtube.com/watch?v=iK2NVY-kJXM
The History of Cats | Lies | Extra History,2025-05-07,61874,2205,119,04xN-vQf_sc,1750.0,https://www.youtube.com/watch?v=04xN-vQf_sc
The Holy Grail: Faith vs. Fiction | Religious History | Extra History,2025-05-03,369150,14510,924,P6p72iRsPac,1116.0,https://www.youtube.com/watch?v=P6p72iRsPac
Victorian Poison Dress | European History | Extra History #shorts,2025-05-01,5938076,355408,1058,k0U6s8Ewuss,72.0,https://www.youtube.com/watch?v=k0U6s8Ewuss
Soviet Battlecat | Coolest Cats in History #shorts,2025-04-24,2139341,181188,748,n-Fe3jkyprU,70.0,https://www.youtube.com/watch?v=n-Fe3jkyprU
The First Cat Memes: History of Cats 3 | World History | Extra History,2025-04-19,344639,16145,587,0JV9oyb8Uo4,1090.0,https://www.youtube.com/watch?v=0JV9oyb8Uo4
Onfim's Naughty Notes! | Worst Kids in History #shorts,2025-04-17,6882710,404769,1216,sz96347e47k,72.0,https://www.youtube.com/watch?v=sz96347e47k
Third Century Crisis | Roman History | Extra History Complete,2025-04-12,560961,13695,453,vxkOwsBAJck,2908.0,https://www.youtube.com/watch?v=vxkOwsBAJck
Why Pirates Have Parrots! | World History | Extra History #shorts,2025-04-10,3105708,224817,586,pxa51m1iaP0,62.0,https://www.youtube.com/watch?v=pxa51m1iaP0
History of Cats 2: Creatures from Hell | World History | Extra History,2025-04-05,349105,18939,945,3ofDW6vaZ4M,967.0,https://www.youtube.com/watch?v=3ofDW6vaZ4M
